State,County,Income
Colorado,Ouray,"59,639"
Colorado,Park,"45,113"
Colorado,Phillips,"44,399"
Colorado,Pitkin,"149,207"
Colorado,Prowers,"42,259"
Colorado,Pueblo,"39,511"
Colorado,Rio Blanco,"46,809"
Colorado,Rio Grande,"46,717"
Colorado,Routt,"83,702"
Colorado,Saguache,"30,172"
Colorado,San Juan,"44,029"
Colorado,San Miguel,"85,432"
Colorado,Sedgwick,"49,004"
Colorado,Summit,"67,763"
Colorado,Teller,"49,197"
Colorado,Washington,"44,687"
Colorado,Weld,"46,172"
Colorado,Yuma,"50,364"
Connecticut,Fairfield,"120,630"
Connecticut,Hartford,"64,853"
Connecticut,Litchfield,"64,949"
Connecticut,Middlesex,"68,673"
Connecticut,New Haven,"56,650"
Connecticut,New London,"59,264"
Connecticut,Tolland,"56,614"
Connecticut,Windham,"47,264"
Delaware,Kent,"42,023"
Delaware,New Castle,"56,745"
Delaware,Sussex,"50,333"
District of Columbia,District of Columbia,"82,005"
Florida,Alachua,"44,390"
Florida,Baker,"32,313"
Florida,Bay,"43,231"
Florida,Bradford,"33,557"
Florida,Brevard,"45,425"
Florida,Broward,"50,269"
Florida,Calhoun,"26,873"
Florida,Charlotte,"41,564"
Florida,Citrus,"37,920"
Florida,Clay,"42,909"
Florida,Collier,"92,686"
Florida,Columbia,"35,074"
Florida,DeSoto,"23,610"
Florida,Dixie,"27,956"
Florida,Duval,"46,174"
Florida,Escambia,"42,537"
Florida,Flagler,"46,220"
Florida,Franklin,"35,988"
Florida,Gadsden,"35,139"
Florida,Gilchrist,"33,774"
Florida,Glades,"24,467"
Florida,Gulf,"35,701"
Florida,Hamilton,"26,016"
Florida,Hardee,"28,285"
Florida,Hendry,"31,071"
Florida,Hernando,"36,878"
Florida,Highlands,"33,453"
Florida,Hillsborough,"47,000"
Florida,Holmes,"30,468"
Florida,Indian River,"76,059"
Florida,Jackson,"32,106"
Florida,Jefferson,"40,736"
Florida,Lafayette,"24,148"
Florida,Lake,"42,190"
Florida,Lee,"51,266"
Florida,Leon,"44,482"
Florida,Levy,"35,204"
Florida,Liberty,"23,582"
Florida,Madison,"31,675"
Florida,Manatee,"47,378"
Florida,Marion,"36,997"
Florida,Martin,"83,873"
Florida,Miami-Dade,"50,022"
Florida,Monroe,"92,119"
Florida,Nassau,"57,877"
Florida,Okaloosa,"48,875"
Florida,Okeechobee,"30,661"
Florida,Orange,"44,647"
Florida,Osceola,"33,346"
Florida,Palm Beach,"79,760"
Florida,Pasco,"40,313"
Florida,Pinellas,"53,455"
Florida,Polk,"35,463"
Florida,Putnam,"31,773"
Florida,St. Johns,"68,149"
Florida,St. Lucie,"39,374"
Florida,Santa Rosa,"44,527"
Florida,Sarasota,"64,868"
Florida,Seminole,"49,049"
Florida,Sumter,"46,100"
Florida,Suwannee,"33,068"
Florida,Taylor,"30,346"
Florida,Union,"22,227"
Florida,Volusia,"42,374"
Florida,Wakulla,"37,026"
Florida,Walton,"59,728"
Florida,Washington,"29,414"
Georgia,Appling,"33,268"
Georgia,Atkinson,"30,511"
