"","State","County","totalDeaths","totalCases","Income.2018","Beds","Pop.2019","popDens","StayHomeDate"
"196","Illinois","Ogle",1,87,46755,16,50643,70.5,"2020-03-21"
"197","Illinois","Peoria",2,65,51135,1122,179179,301.2,"2020-03-21"
"198","Illinois","Perry",0,8,38369,50,20916,50.6,"2020-03-21"
"199","Illinois","Piatt",0,7,54258,16,16344,38.1,"2020-03-21"
"200","Illinois","Pike",0,1,42768,21,15561,19.8,"2020-03-21"
"201","Illinois","Pope",0,0,30306,NA,4177,12.1,"2020-03-21"
"202","Illinois","Pulaski",0,15,36146,NA,5335,30.9,"2020-03-21"
"203","Illinois","Putnam",0,0,58869,NA,5739,37.5,"2020-03-21"
"204","Illinois","Randolph",1,104,36905,165,31782,58.2,"2020-03-21"
"205","Illinois","Richland",0,3,42555,90,15513,45.1,"2020-03-21"
"206","Illinois","Rock Island",6,304,44802,444,141879,345,"2020-03-21"
"207","Illinois","Saline",0,3,39687,98,23491,65.6,"2020-03-21"
"208","Illinois","Sangamon",6,104,48891,1045,194672,227.4,"2020-03-21"
"209","Illinois","Schuyler",0,1,44200,46,6768,17.3,"2020-03-21"
"210","Illinois","Scott",0,0,42720,NA,4951,21.3,"2020-03-21"
"211","Illinois","Shelby",0,10,41512,30,21634,29.5,"2020-03-21"
"212","Illinois","St. Clair",24,391,45061,818,259686,410.6,"2020-03-21"
"213","Illinois","Stark",0,1,42877,NA,5342,20.8,"2020-03-21"
"214","Illinois","Stephenson",0,16,42722,100,44498,84.5,"2020-03-21"
"215","Illinois","Tazewell",3,36,47862,150,131803,208.6,"2020-03-21"
"216","Illinois","Union",0,8,42760,47,16653,43.1,"2020-03-21"
"217","Illinois","Vermilion",0,11,39481,447,75758,90.9,"2020-03-21"
"218","Illinois","Wabash",0,1,43571,25,11520,53.5,"2020-03-21"
"219","Illinois","Warren",0,49,41274,23,16844,32.6,"2020-03-21"
"220","Illinois","Washington",0,8,51144,NA,13887,26.2,"2020-03-21"
"221","Illinois","Wayne",0,2,41164,55,16215,23.5,"2020-03-21"
"222","Illinois","White",0,1,49605,NA,13537,29.6,"2020-03-21"
"223","Illinois","Whiteside",5,62,44016,135,55175,85.5,"2020-03-21"
"224","Illinois","Will",133,2126,52953,NA,690743,809.6,"2020-03-21"
"225","Illinois","Williamson",0,25,44509,431,66597,157.9,"2020-03-21"
"226","Illinois","Winnebago",8,318,43742,907,282572,575.2,"2020-03-21"
"227","Illinois","Woodford",1,11,52928,18,38459,73.3,"2020-03-21"
"228","Louisiana","Acadia",7,130,37304,59,62045,94.3,"2020-03-23"
"229","Louisiana","Allen",9,82,33381,76,25627,33.8,"2020-03-23"
"230","Louisiana","Ascension",36,568,49829,125,126604,369.7,"2020-03-23"
"231","Louisiana","Assumption",3,173,46788,6,21891,69.2,"2020-03-23"
"232","Louisiana","Avoyelles",7,69,37911,55,40144,50.5,"2020-03-23"
"233","Louisiana","Beauregard",3,35,42782,80,37497,30.8,"2020-03-23"
"234","Louisiana","Bienville",13,72,38493,21,13241,17.7,"2020-03-23"
"235","Louisiana","Bossier",13,270,44149,404,127039,139.3,"2020-03-23"
"236","Louisiana","Caddo",93,1448,48413,2328,240204,290.2,"2020-03-23"
"237","Louisiana","Calcasieu",27,363,48968,788,203436,181.2,"2020-03-23"
"238","Louisiana","Caldwell",0,17,33950,65,9918,19.1,"2020-03-23"
"239","Louisiana","Cameron",0,3,50280,49,6973,5.3,"2020-03-23"
"240","Louisiana","Catahoula",2,25,33655,NA,9494,14.7,"2020-03-23"
"241","Louisiana","Claiborne",6,52,35240,NA,15670,22.8,"2020-03-23"
"242","Louisiana","Concordia",3,30,32942,65,19259,29.9,"2020-03-23"
"243","Louisiana","De Soto",10,185,40584,NA,27463,30.4,"2020-03-23"
"244","Louisiana","East Baton Rouge",120,1739,51386,2733,440059,966.6,"2020-03-23"
"245","Louisiana","East Carroll",0,6,36010,11,6861,18.4,"2020-03-23"
"246","Louisiana","East Feliciana",11,108,42771,506,19135,44.7,"2020-03-23"
"247","Louisiana","Evangeline",0,45,33671,250,33395,51.3,"2020-03-23"
"248","Louisiana","Franklin",2,116,31928,43,20015,33.2,"2020-03-23"
"249","Louisiana","Grant",0,11,31828,NA,22389,34.7,"2020-03-23"
"250","Louisiana","Iberia",16,243,39270,211,69830,127.6,"2020-03-23"
"251","Louisiana","Iberville",26,433,41423,NA,32511,54,"2020-03-23"
"252","Louisiana","Jackson",0,25,34116,25,15744,28.6,"2020-03-23"
"253","Louisiana","Jefferson",329,6059,51005,1628,432493,1463.1,"2020-03-23"
"254","Louisiana","Jefferson Davis",5,59,42334,96,31368,48.5,"2020-03-23"
"255","Louisiana","La Salle",NA,NA,NA,NA,NA,23.8,"2020-03-23"
"256","Louisiana","LaSalle",0,19,32413,NA,14892,NA,"2020-03-23"
"257","Louisiana","Lafayette",17,443,50273,1120,244390,824.6,"2020-03-23"
"258","Louisiana","Lafourche",39,624,47096,203,97614,90.2,"2020-03-23"
"259","Louisiana","Lincoln",4,72,40410,159,46742,99.1,"2020-03-23"
"260","Louisiana","Livingston",11,182,40658,59,140789,197.5,"2020-03-23"
"261","Louisiana","Madison",0,7,32437,25,10951,19.4,"2020-03-23"
"262","Louisiana","Morehouse",4,46,38495,82,24874,35.2,"2020-03-23"
"263","Louisiana","Natchitoches",2,73,39860,208,38158,31.6,"2020-03-23"
"264","Louisiana","Orleans",406,6342,52004,1671,390144,2029.4,"2020-03-23"
"265","Louisiana","Ouachita",16,622,41053,679,153279,251.8,"2020-03-23"
"266","Louisiana","Plaquemines",15,168,49376,NA,23197,29.5,"2020-03-23"
"267","Louisiana","Pointe Coupee",12,89,44366,25,21730,40.9,"2020-03-23"
"268","Louisiana","Rapides",8,247,46090,966,129648,99.9,"2020-03-23"
"269","Louisiana","Red River",4,22,42201,37,8442,23.4,"2020-03-23"
"270","Louisiana","Richland",0,48,37330,56,20122,37.1,"2020-03-23"
"271","Louisiana","Sabine",0,13,34558,44,23884,28,"2020-03-23"
"272","Louisiana","St. Bernard",15,446,32130,NA,47244,95.1,"2020-03-23"
"273","Louisiana","St. Charles",36,542,49353,59,53100,189.1,"2020-03-23"
"274","Louisiana","St. Helena",1,27,41592,25,10132,27.4,"2020-03-23"
"275","Louisiana","St. James",18,239,48484,20,21096,91.5,"2020-03-23"
"276","Louisiana","St. John the Baptist",64,749,40573,62,42837,215.5,"2020-03-23"
"277","Louisiana","St. Landry",34,163,41191,605,82124,90.3,"2020-03-23"
"278","Louisiana","St. Martin",15,221,37645,25,53431,70.7,"2020-03-23"
"279","Louisiana","St. Mary",20,179,39280,187,49348,98.4,"2020-03-23"
"280","Louisiana","St. Tammany",94,1162,62366,946,260419,276.4,"2020-03-23"
"281","Louisiana","Tangipahoa",21,528,38974,424,134758,153,"2020-03-23"
"282","Louisiana","Tensas",0,1,36630,NA,4334,8.7,"2020-03-23"
"283","Louisiana","Terrebonne",26,371,41504,367,110461,90.8,"2020-03-23"
"284","Louisiana","Union",6,102,38794,54,22108,25.9,"2020-03-23"
"285","Louisiana","Vermilion",1,34,39042,95,59511,49.4,"2020-03-23"
"286","Louisiana","Vernon",2,16,40729,119,47429,39.4,"2020-03-23"
"287","Louisiana","Washington",14,245,33480,45,46194,70.4,"2020-03-23"
"288","Louisiana","Webster",4,83,40175,196,38340,69.5,"2020-03-23"
"289","Louisiana","West Baton Rouge",15,91,46976,NA,26465,123.6,"2020-03-23"
"290","Louisiana","West Carroll",0,4,36633,21,10830,32.3,"2020-03-23"
"291","Louisiana","West Feliciana",3,103,38655,22,15568,38.8,"2020-03-23"
"292","Louisiana","Winn",2,20,36698,99,13904,16.1,"2020-03-23"
"293","Massachusetts","Barnstable",37,772,74756,407,212990,548.3,"2020-03-24"
"294","Massachusetts","Berkshire",31,428,56503,359,124944,141.6,"2020-03-24"
"295","Massachusetts","Bristol",130,2923,54089,1399,565217,991.3,"2020-03-24"
"296","Massachusetts","Dukes",0,0,93726,25,17332,160.2,"2020-03-24"
"297","Massachusetts","Essex",336,7489,67507,1443,789034,1508.8,"2020-03-24"
"298","Massachusetts","Franklin",32,226,54689,89,70180,102.1,"2020-03-24"
"299","Massachusetts","Hampden",315,3295,51187,1773,466372,751,"2020-03-24"
"300","Massachusetts","Hampshire",20,427,52984,165,160830,299.8,"2020-03-24"
"301","Massachusetts","Middlesex",670,12648,83795,4150,1611699,1837.9,"2020-03-24"
"302","Massachusetts","Nantucket",0,0,124168,19,11399,226.2,"2020-03-24"
"303","Massachusetts","Norfolk",400,5288,92285,1786,706775,1693.6,"2020-03-24"
"304","Massachusetts","Plymouth",212,4495,67505,872,521202,750.9,"2020-03-24"
"305","Massachusetts","Suffolk",391,11543,81152,6162,803907,12415.6,"2020-03-24"
"306","Massachusetts","Worcester",183,4572,57003,2233,830622,528.6,"2020-03-24"
"307","Michigan","Alcona",0,3,38375,NA,10405,16.2,"2020-03-24"
"308","Michigan","Alger",0,0,33767,11,9108,10.5,"2020-03-24"
"309","Michigan","Allegan",1,69,45182,68,118081,135,"2020-03-24"
"310","Michigan","Alpena",2,60,40985,124,28405,51.8,"2020-03-24"
